operation_uid,api_name,method,path,operation_id,summary,description,parameters_count,has_request_body,response_codes,source_file
spotify_GET_audiobooks_id,spotify,GET,/audiobooks/{id},get-an-audiobook,"Get an Audiobook
","Get Spotify catalog information for a single audiobook.<br />
**Note: Audiobooks are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_audiobooks_id_chapters,spotify,GET,/audiobooks/{id}/chapters,get-audiobook-chapters,"Get Audiobook Chapters
","Get Spotify catalog information about an audiobook's chapters.<br />
**Note: Audiobooks are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_browse_categories,spotify,GET,/browse/categories,get-categories,"Get Several Browse Categories
","Get a list of categories used to tag items in Spotify (on, for example, the Spotify player’s “Browse” tab).
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_browse_categories_category_id,spotify,GET,/browse/categories/{category_id},get-a-category,"Get Single Browse Category
","Get a single category used to tag items in Spotify (on, for example, the Spotify player’s “Browse” tab).
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_browse_categories_category_id_playlists,spotify,GET,/browse/categories/{category_id}/playlists,get-a-categories-playlists,"Get Category's Playlists
","Get a list of Spotify playlists tagged with a particular category.
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_browse_featured_playlists,spotify,GET,/browse/featured-playlists,get-featured-playlists,"Get Featured Playlists
","Get a list of Spotify featured playlists (shown, for example, on a Spotify player's 'Browse' tab).
",5,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_browse_new_releases,spotify,GET,/browse/new-releases,get-new-releases,"Get New Releases
","Get a list of new album releases featured in Spotify (shown, for example, on a Spotify player’s “Browse” tab).
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_chapters,spotify,GET,/chapters,get-several-chapters,"Get Several Chapters
","Get Spotify catalog information for several chapters identified by their Spotify IDs.<br />
**Note: Chapters are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_chapters_id,spotify,GET,/chapters/{id},get-a-chapter,"Get a Chapter
","Get Spotify catalog information for a single chapter.<br />
**Note: Chapters are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_episodes,spotify,GET,/episodes,get-multiple-episodes,"Get Several Episodes
","Get Spotify catalog information for several episodes based on their Spotify IDs.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_episodes_id,spotify,GET,/episodes/{id},get-an-episode,"Get Episode
","Get Spotify catalog information for a single episode identified by its
unique Spotify ID.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_markets,spotify,GET,/markets,get-available-markets,"Get Available Markets
","Get the list of markets where Spotify is available.
",0,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me,spotify,GET,/me,get-current-users-profile,"Get Current User's Profile
","Get detailed profile information about the current user (including the
current user's username).
",0,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_me_albums,spotify,DELETE,/me/albums,remove-albums-user,"Remove Users' Saved Albums
","Remove one or more albums from the current user's 'Your Music' library.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_albums,spotify,GET,/me/albums,get-users-saved-albums,"Get User's Saved Albums
","Get a list of the albums saved in the current Spotify user's 'Your Music' library.
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_albums,spotify,PUT,/me/albums,save-albums-user,"Save Albums for Current User
","Save one or more albums to the current user's 'Your Music' library.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_albums_contains,spotify,GET,/me/albums/contains,check-users-saved-albums,"Check User's Saved Albums
","Check if one or more albums is already saved in the current Spotify user's 'Your Music' library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_me_audiobooks,spotify,DELETE,/me/audiobooks,remove-audiobooks-user,"Remove User's Saved Audiobooks
","Remove one or more audiobooks from the Spotify user's library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_audiobooks,spotify,GET,/me/audiobooks,get-users-saved-audiobooks,"Get User's Saved Audiobooks
","Get a list of the audiobooks saved in the current Spotify user's 'Your Music' library.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_audiobooks,spotify,PUT,/me/audiobooks,save-audiobooks-user,"Save Audiobooks for Current User
","Save one or more audiobooks to the current Spotify user's library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_audiobooks_contains,spotify,GET,/me/audiobooks/contains,check-users-saved-audiobooks,"Check User's Saved Audiobooks
","Check if one or more audiobooks are already saved in the current Spotify user's library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_me_episodes,spotify,DELETE,/me/episodes,remove-episodes-user,"Remove User's Saved Episodes
","Remove one or more episodes from the current user's library.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_episodes,spotify,GET,/me/episodes,get-users-saved-episodes,"Get User's Saved Episodes
","Get a list of the episodes saved in the current Spotify user's library.
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_episodes,spotify,PUT,/me/episodes,save-episodes-user,"Save Episodes for Current User
","Save one or more episodes to the current user's library.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_episodes_contains,spotify,GET,/me/episodes/contains,check-users-saved-episodes,"Check User's Saved Episodes
","Check if one or more episodes is already saved in the current Spotify user's 'Your Episodes' library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_me_following,spotify,DELETE,/me/following,unfollow-artists-users,"Unfollow Artists or Users
","Remove the current user as a follower of one or more artists or other Spotify users.
",2,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_following,spotify,GET,/me/following,get-followed,"Get Followed Artists
","Get the current user's followed artists.
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_following,spotify,PUT,/me/following,follow-artists-users,"Follow Artists or Users
","Add the current user as a follower of one or more artists or other Spotify users.
",2,True,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_following_contains,spotify,GET,/me/following/contains,check-current-user-follows,"Check If User Follows Artists or Users
","Check to see if the current user is following one or more artists or other Spotify users.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_player,spotify,GET,/me/player,get-information-about-the-users-current-playback,"Get Playback State
","Get information about the user’s current playback state, including track or episode, progress, and active device.
",2,False,200|204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_player,spotify,PUT,/me/player,transfer-a-users-playback,"Transfer Playback
","Transfer playback to a new device and determine if it should start playing.
",0,True,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_player_currently_playing,spotify,GET,/me/player/currently-playing,get-the-users-currently-playing-track,"Get Currently Playing Track
","Get the object currently being played on the user's Spotify account.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_player_devices,spotify,GET,/me/player/devices,get-a-users-available-devices,"Get Available Devices
","Get information about a user’s available devices.
",0,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_POST_me_player_next,spotify,POST,/me/player/next,skip-users-playback-to-next-track,"Skip To Next
","Skips to next track in the user’s queue.
",1,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_player_pause,spotify,PUT,/me/player/pause,pause-a-users-playback,"Pause Playback
","Pause playback on the user's account.
",1,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_player_play,spotify,PUT,/me/player/play,start-a-users-playback,"Start/Resume Playback
","Start a new context or resume current playback on the user's active device.
",1,True,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_POST_me_player_previous,spotify,POST,/me/player/previous,skip-users-playback-to-previous-track,"Skip To Previous
","Skips to previous track in the user’s queue.
",1,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_player_queue,spotify,GET,/me/player/queue,get-queue,"Get the User's Queue
","Get the list of objects that make up the user's queue.
",0,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_POST_me_player_queue,spotify,POST,/me/player/queue,add-to-queue,"Add Item to Playback Queue
","Add an item to the end of the user's current playback queue.
",2,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_player_recently_played,spotify,GET,/me/player/recently-played,get-recently-played,"Get Recently Played Tracks
","Get tracks from the current user's recently played tracks.
_**Note**: Currently doesn't support podcast episodes._
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_player_repeat,spotify,PUT,/me/player/repeat,set-repeat-mode-on-users-playback,"Set Repeat Mode
","Set the repeat mode for the user's playback. Options are repeat-track,
repeat-context, and off.
",2,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_player_seek,spotify,PUT,/me/player/seek,seek-to-position-in-currently-playing-track,"Seek To Position
","Seeks to the given position in the user’s currently playing track.
",2,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_player_shuffle,spotify,PUT,/me/player/shuffle,toggle-shuffle-for-users-playback,"Toggle Playback Shuffle
","Toggle shuffle on or off for user’s playback.
",2,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_player_volume,spotify,PUT,/me/player/volume,set-volume-for-users-playback,"Set Playback Volume
","Set the volume for the user’s current playback device.
",2,False,204|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_playlists,spotify,GET,/me/playlists,get-a-list-of-current-users-playlists,"Get Current User's Playlists
","Get a list of the playlists owned or followed by the current Spotify
user.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_me_shows,spotify,DELETE,/me/shows,remove-shows-user,"Remove User's Saved Shows
","Delete one or more shows from current Spotify user's library.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_shows,spotify,GET,/me/shows,get-users-saved-shows,"Get User's Saved Shows
","Get a list of shows saved in the current Spotify user's library. Optional parameters can be used to limit the number of shows returned.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_shows,spotify,PUT,/me/shows,save-shows-user,"Save Shows for Current User
","Save one or more shows to current Spotify user's library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_shows_contains,spotify,GET,/me/shows/contains,check-users-saved-shows,"Check User's Saved Shows
","Check if one or more shows is already saved in the current Spotify user's library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_top_type,spotify,GET,/me/top/{type},get-users-top-artists-and-tracks,"Get User's Top Items
","Get the current user's top artists or tracks based on calculated affinity.
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_me_tracks,spotify,DELETE,/me/tracks,remove-tracks-user,"Remove User's Saved Tracks
","Remove one or more tracks from the current user's 'Your Music' library.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_tracks,spotify,GET,/me/tracks,get-users-saved-tracks,"Get User's Saved Tracks
","Get a list of the songs saved in the current Spotify user's 'Your Music' library.
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_me_tracks,spotify,PUT,/me/tracks,save-tracks-user,"Save Tracks for Current User
","Save one or more tracks to the current user's 'Your Music' library.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_me_tracks_contains,spotify,GET,/me/tracks/contains,check-users-saved-tracks,"Check User's Saved Tracks
","Check if one or more tracks is already saved in the current Spotify user's 'Your Music' library.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_playlists_playlist_id,spotify,GET,/playlists/{playlist_id},get-playlist,"Get Playlist
","Get a playlist owned by a Spotify user.
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_playlists_playlist_id,spotify,PUT,/playlists/{playlist_id},change-playlist-details,"Change Playlist Details
","Change a playlist's name and public/private state. (The user must, of
course, own the playlist.)
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_playlists_playlist_id_followers,spotify,DELETE,/playlists/{playlist_id}/followers,unfollow-playlist,"Unfollow Playlist
","Remove the current user as a follower of a playlist.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_playlists_playlist_id_followers,spotify,PUT,/playlists/{playlist_id}/followers,follow-playlist,"Follow Playlist
","Add the current user as a follower of a playlist.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_playlists_playlist_id_followers_contains,spotify,GET,/playlists/{playlist_id}/followers/contains,check-if-user-follows-playlist,"Check if Users Follow Playlist
","Check to see if one or more Spotify users are following a specified playlist.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_playlists_playlist_id_images,spotify,GET,/playlists/{playlist_id}/images,get-playlist-cover,"Get Playlist Cover Image
","Get the current image associated with a specific playlist.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_playlists_playlist_id_images,spotify,PUT,/playlists/{playlist_id}/images,upload-custom-playlist-cover,"Add Custom Playlist Cover Image
","Replace the image used to represent a specific playlist.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_DELETE_playlists_playlist_id_tracks,spotify,DELETE,/playlists/{playlist_id}/tracks,remove-tracks-playlist,"Remove Playlist Items
","Remove one or more items from a user's playlist.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_playlists_playlist_id_tracks,spotify,GET,/playlists/{playlist_id}/tracks,get-playlists-tracks,"Get Playlist Items
","Get full details of the items of a playlist owned by a Spotify user.
",6,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_POST_playlists_playlist_id_tracks,spotify,POST,/playlists/{playlist_id}/tracks,add-tracks-to-playlist,"Add Items to Playlist
","Add one or more items to a user's playlist.
",3,True,201|401|403|429,datasets\openapi\spotify\openapi.json
spotify_PUT_playlists_playlist_id_tracks,spotify,PUT,/playlists/{playlist_id}/tracks,reorder-or-replace-playlists-tracks,"Update Playlist Items
","Either reorder or replace items in a playlist depending on the request's parameters.
To reorder items, include `range_start`, `insert_before`, `range_length` and `snapshot_id` in the request's body.
To replace items, include `uris` as either a query parameter or in the request's body.
Replacing items in a playlist will overwrite its existing items. This operation can be used for replacing or clearing items in a playlist.
<br/>
**Note**: Replace and reorder are mutually exclusive operations which share the same endpoint, but have different parameters.
These operations can't be applied together in a single request.
",2,True,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_recommendations,spotify,GET,/recommendations,get-recommendations,"Get Recommendations
","Recommendations are generated based on the available information for a given seed entity and matched against similar artists and tracks. If there is sufficient information about the provided seeds, a list of tracks will be returned together with pool size details.

For artists and tracks that are very new or obscure there might not be enough data to generate a list of tracks.
",47,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_recommendations_available_genre_seeds,spotify,GET,/recommendations/available-genre-seeds,get-recommendation-genres,"Get Available Genre Seeds
","Retrieve a list of available genres seed parameter values for [recommendations](/documentation/web-api/reference/#/operations/get-recommendations).
",0,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_search,spotify,GET,/search,search,"Search for Item
","Get Spotify catalog information about albums, artists, playlists, tracks, shows, episodes or audiobooks
that match a keyword string.<br />
**Note: Audiobooks are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",6,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_shows,spotify,GET,/shows,get-multiple-shows,"Get Several Shows
","Get Spotify catalog information for several shows based on their Spotify IDs.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_shows_id,spotify,GET,/shows/{id},get-a-show,"Get Show
","Get Spotify catalog information for a single show identified by its
unique Spotify ID.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_shows_id_episodes,spotify,GET,/shows/{id}/episodes,get-a-shows-episodes,"Get Show Episodes
","Get Spotify catalog information about an show’s episodes. Optional parameters can be used to limit the number of episodes returned.
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_tracks,spotify,GET,/tracks,get-several-tracks,"Get Several Tracks
","Get Spotify catalog information for multiple tracks based on their Spotify IDs.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_tracks_id,spotify,GET,/tracks/{id},get-track,"Get Track
","Get Spotify catalog information for a single track identified by its
unique Spotify ID.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_users_user_id,spotify,GET,/users/{user_id},get-users-profile,"Get User's Profile
","Get public profile information about a Spotify user.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_users_user_id_playlists,spotify,GET,/users/{user_id}/playlists,get-list-users-playlists,"Get User's Playlists
","Get a list of the playlists owned or followed by a Spotify user.
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_POST_users_user_id_playlists,spotify,POST,/users/{user_id}/playlists,create-playlist,"Create Playlist
","Create a playlist for a Spotify user. (The playlist will be empty until
you [add tracks](/documentation/web-api/reference/#/operations/add-tracks-to-playlist).)
",1,True,201|401|403|429,datasets\openapi\spotify\openapi.json
sendgrid_GET_access_settings_activity,sendgrid,GET,/access_settings/activity,GET_access_settings-activity,Retrieve all recent access attempts,**This endpoint allows you to retrieve a list of all of the IP addresses that recently attempted to access your account either through the User Interface or the API.**,2,False,200|401|403|404|500,datasets\openapi\sendgrid\openapi.json
sendgrid_DELETE_access_settings_whitelist,sendgrid,DELETE,/access_settings/whitelist,DELETE_access_settings-whitelist,Remove one or more IPs from the allow list,"**This endpoint allows you to remove one or more IP addresses from your list of allowed addresses.**

To remove one or more IP addresses, pass this endpoint an array containing the ID(s) associated with the IP(s) you intend to remove. You can retrieve the IDs associated with your allowed IP addresses using the ""Retrieve a list of currently allowed IPs"" endpoint.

It is possible to remove your own IP address, which will block access to your account. You will need to submit a [support ticket](https://sendgrid.com/docs/ui/account-and-settings/support/) if this happens. For this reason, it is important to double check that you are removing only the IPs you intend to remove when using this endpoint.",1,True,204|401|403|404|500,datasets\openapi\sendgrid\openapi.json
sendgrid_GET_access_settings_whitelist,sendgrid,GET,/access_settings/whitelist,GET_access_settings-whitelist,Retrieve a list of currently allowed IPs,"**This endpoint allows you to retrieve a list of IP addresses that are currently allowed to access your account.**

Each IP address returned to you will have `created_at` and `updated_at` dates. Each IP will also be associated with an `id` that can be used to remove the address from your allow list.",1,False,200|401|403|404|500,datasets\openapi\sendgrid\openapi.json
sendgrid_POST_access_settings_whitelist,sendgrid,POST,/access_settings/whitelist,POST_access_settings-whitelist,Add one or more IPs to the allow list,"**This endpoint allows you to add one or more allowed IP addresses.**

To allow one or more IP addresses, pass them to this endpoint in an array. Once an IP address is added to your allow list, it will be assigned an `id` that can be used to remove the address. You can retrieve the ID associated with an IP using the ""Retrieve a list of currently allowed IPs"" endpoint.",1,True,201|401|403|404|500,datasets\openapi\sendgrid\openapi.json
sendgrid_DELETE_access_settings_whitelist_rule_id,sendgrid,DELETE,/access_settings/whitelist/{rule_id},DELETE_access_settings-whitelist-rule_id,Remove a specific IP from the allowed list,"**This endpoint allows you to remove a specific IP address from your list of allowed addresses.**

When removing a specific IP address from your list, you must include the ID in your call.  You can retrieve the IDs associated with your allowed IP addresses using the ""Retrieve a list of currently allowed IPs"" endpoint.",1,False,204,datasets\openapi\sendgrid\openapi.json
sendgrid_GET_access_settings_whitelist_rule_id,sendgrid,GET,/access_settings/whitelist/{rule_id},GET_access_settings-whitelist-rule_id,Retrieve a specific allowed IP,"**This endpoint allows you to retreive a specific IP address that has been allowed to access your account.**

You must include the ID for the specific IP address you want to retrieve in your call. You can retrieve the IDs associated with your allowed IP addresses using the ""Retrieve a  list of currently allowed IPs"" endpoint.",1,False,200,datasets\openapi\sendgrid\openapi.json
sendgrid_GET_alerts,sendgrid,GET,/alerts,GET_alerts,Retrieve all alerts,"**This endpoint allows you to retrieve all of your alerts.**

Alerts allow you to specify an email address to receive notifications regarding your email usage or statistics. 
* Usage alerts allow you to set the threshold at which an alert will be sent.
* Stats notifications allow you to set how frequently you would like to receive email statistics reports. For example, ""daily"", ""weekly"", or ""monthly"".

For more information about alerts, please see our [Alerts documentation](https://sendgrid.com/docs/ui/account-and-settings/alerts/).",2,False,200,datasets\openapi\sendgrid\openapi.json
sendgrid_POST_alerts,sendgrid,POST,/alerts,POST_alerts,Create a new Alert,"**This endpoint allows you to create a new alert.**

Alerts allow you to specify an email address to receive notifications regarding your email usage or statistics. There are two types of alerts that can be created with this endpoint:

* `usage_limit` allows you to set the threshold at which an alert will be sent.
* `stats_notification` allows you to set how frequently you would like to receive email statistics reports. For example, ""daily"", ""weekly"", or ""monthly"".

For more information about alerts, please see our [Alerts documentation](https://sendgrid.com/docs/ui/account-and-settings/alerts/).",2,True,201|400,datasets\openapi\sendgrid\openapi.json
sendgrid_DELETE_alerts_alert_id,sendgrid,DELETE,/alerts/{alert_id},DELETE_alerts-alert_id,Delete an alert,"**This endpoint allows you to delete an alert.**

Alerts allow you to specify an email address to receive notifications regarding your email usage or statistics. 
* Usage alerts allow you to set the threshold at which an alert will be sent.
* Stats notifications allow you to set how frequently you would like to receive email statistics reports. For example, ""daily"", ""weekly"", or ""monthly"".

For more information about alerts, please see our [Alerts documentation](https://sendgrid.com/docs/ui/account-and-settings/alerts/).",1,False,204,datasets\openapi\sendgrid\openapi.json
sendgrid_GET_alerts_alert_id,sendgrid,GET,/alerts/{alert_id},GET_alerts-alert_id,Retrieve a specific alert,"**This endpoint allows you to retrieve a specific alert.**

Alerts allow you to specify an email address to receive notifications regarding your email usage or statistics. 
* Usage alerts allow you to set the threshold at which an alert will be sent.
* Stats notifications allow you to set how frequently you would like to receive email statistics reports. For example, ""daily"", ""weekly"", or ""monthly"".

For more information about alerts, please see our [Alerts documentation](https://sendgrid.com/docs/ui/account-and-settings/alerts/).",2,False,200,datasets\openapi\sendgrid\openapi.json
sendgrid_PATCH_alerts_alert_id,sendgrid,PATCH,/alerts/{alert_id},PATCH_alerts-alert_id,Update an alert,"**This endpoint allows you to update an alert.**

Alerts allow you to specify an email address to receive notifications regarding your email usage or statistics. 
* Usage alerts allow you to set the threshold at which an alert will be sent.
* Stats notifications allow you to set how frequently you would like to receive email statistics reports. For example, ""daily"", ""weekly"", or ""monthly"".

For more information about alerts, please see our [Alerts documentation](https://sendgrid.com/docs/ui/account-and-settings/alerts/).",1,True,200,datasets\openapi\sendgrid\openapi.json
sendgrid_GET_api_keys,sendgrid,GET,/api_keys,GET_api_keys,Retrieve all API Keys belonging to the authenticated user,"**This endpoint allows you to retrieve all API Keys that belong to the authenticated user.**

A successful response from this API will include all available API keys' names and IDs.

For security reasons, there is not a way to retrieve the key itself after it's created. If you lose your API key, you must create a new one. Only the ""Create API keys"" endpoint will return a key to you and only at the time of creation.

An `api_key_id` can be used to update or delete the key, as well as retrieve the key's details, such as its scopes.",2,False,200|401|403|404|500,datasets\openapi\sendgrid\openapi.json
sendgrid_POST_api_keys,sendgrid,POST,/api_keys,create-api-keys,Create API keys,"**This endpoint allows you to create a new API Key for the user.**

To create your initial SendGrid API Key, you should [use the SendGrid App](https://app.sendgrid.com/settings/api_keys). Once you have created a first key with scopes to manage additional API keys, you can use this API for all other key management.

> There is a limit of 100 API Keys on your account.

A JSON request body containing a `name` property is required when making requests to this endpoint. If the number of maximum keys, 100, is reached, a `403` status will be returned.

Though the `name` field is required, it does not need to be unique. A unique API key ID will be generated for each key you create and returned in the response body.

It is not necessary to pass a `scopes` field to the API when creating a key, but you should be aware that omitting the `scopes` field from your request will create a key with ""Full Access"" permissions by default.

See the [API Key Permissions List](https://sendgrid.api-docs.io/v3.0/how-to-use-the-sendgrid-v3-api/api-authorization) for all available scopes. An API key's scopes can be updated after creation using the ""Update API keys"" endpoint.",1,True,201|400|401|403|404|500,datasets\openapi\sendgrid\openapi.json
sendgrid_DELETE_api_keys_api_key_id,sendgrid,DELETE,/api_keys/{api_key_id},DELETE_api_keys-api_key_id,Delete API keys,"**This endpoint allows you to revoke an existing API Key using an `api_key_id`**

Authentications using a revoked API Key will fail after after some small propogation delay. If the API Key ID does not exist, a `404` status will be returned.",1,False,204|400|401|403|404|500,datasets\openapi\sendgrid\openapi.json
